Date,Confirmation Code,Start Date,Nights,Listing,Gross Earnings
1/25/22,HMABKDF3P2,1/24/22,6,Fabulous Guesthouse next to Stanford w/ Kitchen,205.2
1/25/22,HMABKDF3P2,1/24/22,6,Fabulous Guesthouse next to Stanford w/ Kitchen,342
1/23/22,HM3MTBNFEZ,1/22/22,5,Private and Stylish Studio walkable Palo Alto,282.8
1/23/22,HM3MTBNFEZ,1/22/22,5,Private and Stylish Studio walkable Palo Alto,70.7
1/13/22,HMBS9XSB3C,1/12/22,11,Fabulous Guesthouse next to Stanford w/ Kitchen,261.54
1/13/22,HMBS9XSB3C,1/12/22,11,Fabulous Guesthouse next to Stanford w/ Kitchen,1046.16
1/9/22,HMPAHAPYHC,1/8/22,8,Private and Stylish Studio walkable Palo Alto,221.12
1/5/22,HM49K5XE3Q,11/4/21,97,Walkable 2 Bedr Home w Yard in Silicon Valley,4311.55
1/5/22,HM49K5XE3Q,11/4/21,97,Walkable 2 Bedr Home w Yard in Silicon Valley,1077.89
1/4/22,HMQBSPT9NB,1/3/22,4,Private and Stylish Studio walkable Palo Alto,144.4
1/4/22,HMQBSPT9NB,1/3/22,4,Private and Stylish Studio walkable Palo Alto,577.6
1/2/22,HMB8DCWF3A,1/1/22,159,"5 Bedr Luxury Home, Pristine Stanford Neighborhood",4235.85
12/31/21,HM88E23YSA,12/30/21,4,Private and Stylish Studio walkable Palo Alto,136
12/30/21,HMY3ETHZ5F,12/29/21,7,Fabulous Guesthouse next to Stanford w/ Kitchen,1421.04
12/27/21,HMWXXZZP88,12/26/21,3,Private and Stylish Studio walkable Palo Alto,432
12/27/21,HMWXXZZP88,12/26/21,3,Private and Stylish Studio walkable Palo Alto,108
12/25/21,HMCH5APND8,12/24/21,7,"5 Bedr Luxury Home, Pristine Stanford Neighborhood",696.52
12/25/21,HMCH5APND8,12/24/21,7,"5 Bedr Luxury Home, Pristine Stanford Neighborhood",2786.08
12/21/21,HM94438P89,12/20/21,5,Fabulous Guesthouse next to Stanford w/ Kitchen,291.2
12/21/21,HM94438P89,12/20/21,5,Fabulous Guesthouse next to Stanford w/ Kitchen,1164.8
12/17/21,HMPTR5E59F,12/16/21,2,Private and Stylish Studio walkable Palo Alto,320
12/14/21,HMDW4KDC49,12/13/21,2,Private and Stylish Studio walkable Palo Alto,320
12/14/21,HMDW4KDC49,12/13/21,2,Private and Stylish Studio walkable Palo Alto,80
12/12/21,HMP8WXFPY4,12/11/21,7,Fabulous Guesthouse next to Stanford w/ Kitchen,357.6
12/12/21,HMP8WXFPY4,12/11/21,7,Fabulous Guesthouse next to Stanford w/ Kitchen,1430.4
12/7/21,HMKSPHMRHJ,12/6/21,4,Private and Stylish Studio walkable Palo Alto,544
12/7/21,HMKSPHMRHJ,12/6/21,4,Private and Stylish Studio walkable Palo Alto,136
12/6/21,HMHJNPZWWE,12/5/21,14,"5 Bedr Luxury Home, Pristine Stanford Neighborhood",5216
12/6/21,HMHJNPZWWE,12/5/21,14,"5 Bedr Luxury Home, Pristine Stanford Neighborhood",1304
12/5/21,HM49K5XE3Q,11/4/21,97,Walkable 2 Bedr Home w Yard in Silicon Valley,1077.89
12/3/21,HM93KBM32X,12/2/21,7,Fabulous Guesthouse next to Stanford w/ Kitchen,1380
12/3/21,HM93KBM32X,12/2/21,7,Fabulous Guesthouse next to Stanford w/ Kitchen,345
12/3/21,HMZKKJ5FM2,12/2/21,4,Private and Stylish Studio walkable Palo Alto,136
11/29/21,HMRZA3FFJA,11/28/21,4,Private and Stylish Studio walkable Palo Alto,144
11/29/21,HMRZA3FFJA,11/28/21,4,Private and Stylish Studio walkable Palo Alto,576
11/27/21,HMRA5JMZY3,11/26/21,2,Private and Stylish Studio walkable Palo Alto,80
11/26/21,HM2Q8J99RS,11/25/21,6,Fabulous Guesthouse next to Stanford w/ Kitchen,1272.8
